T09,Health Personnel,,,,,
504,Morocco,2015,Health personnel: Dentists (per 1000 population),0.1400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
504,Morocco,2017,Health personnel: Physicians (number),26003.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
504,Morocco,2017,Health personnel: Physicians (per 1000 population),7.3100,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
504,Morocco,2017,Health personnel: Dentists (number),4855.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
504,Morocco,2017,Health personnel: Dentists (per 1000 population),0.1358,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
504,Morocco,2017,Health personnel: Pharmacists (number),9244.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
504,Morocco,2017,Health personnel: Pharmacists (per 1000 population),0.2598,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
504,Morocco,2017,Health personnel: Nurses and midwives (number),49412.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
504,Morocco,2017,Health personnel: Nurses and midwives personnel (per 1000 population),1.3887,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2004,Health personnel: Physicians (number),514.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2004,Health personnel: Physicians (per 1000 population),0.2600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2004,Health personnel: Dentists (number),16.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2004,Health personnel: Dentists (per 1000 population),0.0008,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2004,Health personnel: Nurses and midwives (number),6500.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2004,Health personnel: Nurses and midwives personnel (per 1000 population),0.3265,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2005,Health personnel: Nurses and midwives (number),6771.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2005,Health personnel: Nurses and midwives personnel (per 1000 population),0.3304,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2010,Health personnel: Physicians (number),1145.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2010,Health personnel: Physicians (per 1000 population),0.4900,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2010,Health personnel: Dentists (number),60.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2010,Health personnel: Dentists (per 1000 population),0.0025,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2010,Health personnel: Pharmacists (number),48.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2010,Health personnel: Pharmacists (per 1000 population),0.0020,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2010,Health personnel: Nurses and midwives (number),9507.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2010,Health personnel: Nurses and midwives personnel (per 1000 population),0.4040,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2013,Health personnel: Physicians (number),1452.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2013,Health personnel: Physicians (per 1000 population),0.5700,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2013,Health personnel: Dentists (number),136.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2013,Health personnel: Dentists (per 1000 population),0.0051,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2013,Health personnel: Pharmacists (number),103.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2013,Health personnel: Pharmacists (per 1000 population),0.0040,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2013,Health personnel: Nurses and midwives (number),19073.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2013,Health personnel: Nurses and midwives personnel (per 1000 population),0.7462,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2015,Health personnel: Physicians (number),1103.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2015,Health personnel: Physicians (per 1000 population),0.4100,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2015,Health personnel: Pharmacists (number),194.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2015,Health personnel: Pharmacists (per 1000 population),0.0072,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2015,Health personnel: Nurses and midwives (number),17243.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2015,Health personnel: Nurses and midwives personnel (per 1000 population),0.6376,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2017,Health personnel: Physicians (number),2180.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2017,Health personnel: Physicians (per 1000 population),0.7600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2017,Health personnel: Dentists (number),223.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2017,Health personnel: Dentists (per 1000 population),0.0075,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2017,Health personnel: Pharmacists (number),255.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2017,Health personnel: Pharmacists (per 1000 population),0.0089,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2017,Health personnel: Nurses and midwives (number),19601.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2017,Health personnel: Nurses and midwives personnel (per 1000 population),0.6842,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2018,Health personnel: Physicians (number),2473.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2018,Health personnel: Physicians (per 1000 population),0.8400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2018,Health personnel: Pharmacists (number),305.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2018,Health personnel: Pharmacists (per 1000 population),0.0103,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
508,Mozambique,2018,Health personnel: Nurses and midwives personnel (per 1000 population),0.6847,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2005,Health personnel: Physicians (number),18584.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2005,Health personnel: Physicians (per 1000 population),3.8000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2005,Health personnel: Dentists (number),1594.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2005,Health personnel: Dentists (per 1000 population),0.0329,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2005,Health personnel: Nurses and midwives (number),36521.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2005,Health personnel: Nurses and midwives personnel (per 1000 population),0.7461,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2010,Health personnel: Physicians (number),26435.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2010,Health personnel: Physicians (per 1000 population),5.2200,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2010,Health personnel: Dentists (number),2562.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2010,Health personnel: Dentists (per 1000 population),0.0511,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2010,Health personnel: Nurses and midwives (number),45200.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2010,Health personnel: Nurses and midwives personnel (per 1000 population),0.8933,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2012,Health personnel: Physicians (number),29832.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2012,Health personnel: Physicians (per 1000 population),5.8000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2012,Health personnel: Dentists (number),3011.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2012,Health personnel: Dentists (per 1000 population),0.0591,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2012,Health personnel: Nurses and midwives (number),48871.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2012,Health personnel: Nurses and midwives personnel (per 1000 population),0.9505,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2015,Health personnel: Dentists (number),3270.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2015,Health personnel: Dentists (per 1000 population),0.0624,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2017,Health personnel: Physicians (number),46110.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2017,Health personnel: Physicians (per 1000 population),8.6400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2017,Health personnel: Dentists (number),4301.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2017,Health personnel: Dentists (per 1000 population),0.0806,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2017,Health personnel: Pharmacists (number),2063.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2017,Health personnel: Pharmacists (per 1000 population),0.0386,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2017,Health personnel: Nurses and midwives (number),53671.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2017,Health personnel: Nurses and midwives personnel (per 1000 population),1.0054,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2018,Health personnel: Physicians (number),36363.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2018,Health personnel: Physicians (per 1000 population),6.7700,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2018,Health personnel: Pharmacists (number),3965.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2018,Health personnel: Pharmacists (per 1000 population),0.0738,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
104,Myanmar,2018,Health personnel: Nurses and midwives personnel (per 1000 population),0.9993,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2004,Health personnel: Physicians (number),598.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2004,Health personnel: Physicians (per 1000 population),3.1400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2004,Health personnel: Dentists (number),82.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2004,Health personnel: Dentists (per 1000 population),0.0408,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2004,Health personnel: Nurses and midwives (number),6145.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2004,Health personnel: Nurses and midwives personnel (per 1000 population),3.2212,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2007,Health personnel: Physicians (number),774.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2007,Health personnel: Physicians (per 1000 population),3.8600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2007,Health personnel: Dentists (number),90.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2007,Health personnel: Dentists (per 1000 population),0.0433,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2007,Health personnel: Pharmacists (number),239.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2007,Health personnel: Pharmacists (per 1000 population),0.1191,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2007,Health personnel: Nurses and midwives (number),5750.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2007,Health personnel: Nurses and midwives personnel (per 1000 population),2.8657,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2015,Health personnel: Nurses and midwives (number),4365.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2015,Health personnel: Nurses and midwives personnel (per 1000 population),1.8856,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2017,Health personnel: Physicians (number),1421.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2017,Health personnel: Physicians (per 1000 population),5.9100,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2017,Health personnel: Nurses and midwives (number),4853.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2017,Health personnel: Nurses and midwives personnel (per 1000 population),2.0199,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2018,Health personnel: Physicians (number),1024.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2018,Health personnel: Physicians (per 1000 population),4.1800,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2018,Health personnel: Pharmacists (number),598.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2018,Health personnel: Pharmacists (per 1000 population),0.2443,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
516,Namibia,2018,Health personnel: Nurses and midwives personnel (per 1000 population),1.9540,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2004,Health personnel: Physicians (number),10.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2004,Health personnel: Physicians (per 1000 population),10.1000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2004,Health personnel: Dentists (number),1.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2004,Health personnel: Dentists (per 1000 population),0.0990,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2004,Health personnel: Nurses and midwives (number),63.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2004,Health personnel: Nurses and midwives personnel (per 1000 population),6.3636,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2008,Health personnel: Physicians (number),10.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2008,Health personnel: Physicians (per 1000 population),10.1000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2008,Health personnel: Dentists (number),1.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2008,Health personnel: Dentists (per 1000 population),0.1010,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2008,Health personnel: Nurses and midwives (number),69.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2008,Health personnel: Nurses and midwives personnel (per 1000 population),6.9697,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2009,Health personnel: Physicians (number),10.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2009,Health personnel: Physicians (per 1000 population),10.1000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2009,Health personnel: Dentists (number),1.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2009,Health personnel: Dentists (per 1000 population),0.1010,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2010,Health personnel: Physicians (number),11.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2010,Health personnel: Physicians (per 1000 population),11.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2015,Health personnel: Physicians (number),14.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2015,Health personnel: Physicians (per 1000 population),13.4600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2015,Health personnel: Dentists (number),2.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2015,Health personnel: Dentists (per 1000 population),0.1770,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2015,Health personnel: Pharmacists (number),2.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2015,Health personnel: Pharmacists (per 1000 population),0.1923,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2015,Health personnel: Nurses and midwives (number),70.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2015,Health personnel: Nurses and midwives personnel (per 1000 population),6.7308,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
520,Nauru,2018,Health personnel: Nurses and midwives personnel (per 1000 population),7.6636,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2004,Health personnel: Physicians (number),5384.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2004,Health personnel: Physicians (per 1000 population),2.1200,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2004,Health personnel: Dentists (number),245.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2004,Health personnel: Dentists (per 1000 population),0.0097,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2004,Health personnel: Nurses and midwives (number),11825.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2004,Health personnel: Nurses and midwives personnel (per 1000 population),0.4652,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2012,Health personnel: Physicians (number),13925.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2012,Health personnel: Physicians (per 1000 population),5.1600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2012,Health personnel: Pharmacists (number),1200.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2012,Health personnel: Pharmacists (per 1000 population),0.0445,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2012,Health personnel: Nurses and midwives (number),43130.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2012,Health personnel: Nurses and midwives personnel (per 1000 population),1.5980,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2013,Health personnel: Physicians (number),15181.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2013,Health personnel: Physicians (per 1000 population),5.6400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2013,Health personnel: Nurses and midwives (number),50413.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2013,Health personnel: Nurses and midwives personnel (per 1000 population),1.8729,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2014,Health personnel: Nurses and midwives (number),57495.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2014,Health personnel: Nurses and midwives personnel (per 1000 population),2.1369,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2017,Health personnel: Physicians (number),25148.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2017,Health personnel: Physicians (per 1000 population),9.1000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2017,Health personnel: Dentists (number),6079.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2017,Health personnel: Dentists (per 1000 population),0.2074,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2017,Health personnel: Pharmacists (number),2711.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2017,Health personnel: Pharmacists (per 1000 population),0.0981,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2017,Health personnel: Nurses and midwives (number),78695.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2017,Health personnel: Nurses and midwives personnel (per 1000 population),2.8479,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2018,Health personnel: Physicians (number),21033.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2018,Health personnel: Physicians (per 1000 population),7.4900,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2018,Health personnel: Pharmacists (number),11108.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2018,Health personnel: Pharmacists (per 1000 population),0.3954,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
524,Nepal,2018,Health personnel: Nurses and midwives personnel (per 1000 population),3.1084,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
528,Netherlands,2005,Health personnel: Physicians (number),44186.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
528,Netherlands,2005,Health personnel: Physicians (per 1000 population),27.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
528,Netherlands,2005,Health personnel: Pharmacists (number),2952.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
528,Netherlands,2005,Health personnel: Pharmacists (per 1000 population),0.1804,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
528,Netherlands,2005,Health personnel: Nurses and midwives (number),135943.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
528,Netherlands,2005,Health personnel: Nurses and midwives personnel (per 1000 population),8.3058,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
528,Netherlands,2010,Health personnel: Physicians (number),49242.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
528,Netherlands,2010,Health personnel: Physicians (per 1000 population),29.5200,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
528,Netherlands,2010,Health personnel: Dentists (number),8345.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
528,Netherlands,2010,Health personnel: Dentists (per 1000 population),0.5002,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
