T26,Population employed in research and development (R&D),,,,,
528,Netherlands,2010,R & D personnel: Total (number in full-time equivalent),100544.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2010,R & D personnel: Researchers - total (number in full-time equivalent),53703.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2010,R & D personnel: Technicians - total (number in full-time equivalent),22128.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),24714.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2011,R & D personnel: Total (number in full-time equivalent),117435.5190,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2011,R & D personnel: Researchers - total (number in full-time equivalent),61334.8640,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2011,R & D personnel: Researchers - women (number in full-time equivalent),15629.3810,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2011,R & D personnel: Technicians - total (number in full-time equivalent),34107.2120,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2011,R & D personnel: Technicians - women (number in full-time equivalent),7340.3960,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),21993.4420,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),8722.5130,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2016,R & D personnel: Total (number in full-time equivalent),132867.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2016,R & D personnel: Researchers - total (number in full-time equivalent),81117.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2016,R & D personnel: Researchers - women (number in full-time equivalent),21786.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2017,R & D personnel: Total (number in full-time equivalent),138292.0000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
528,Netherlands,2017,R & D personnel: Researchers - total (number in full-time equivalent),85300.0000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2005,R & D personnel: Total (number in full-time equivalent),18929.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2005,R & D personnel: Researchers - total (number in full-time equivalent),12986.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2005,R & D personnel: Technicians - total (number in full-time equivalent),3200.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),2800.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2009,R & D personnel: Total (number in full-time equivalent),23200.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2009,R & D personnel: Researchers - total (number in full-time equivalent),16100.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2009,R & D personnel: Technicians - total (number in full-time equivalent),4100.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),2900.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2015,R & D personnel: Total (number in full-time equivalent),26400.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2015,R & D personnel: Researchers - total (number in full-time equivalent),18700.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2015,R & D personnel: Technicians - total (number in full-time equivalent),4700.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
554,New Zealand,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),2600.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
558,Nicaragua,2002,R & D personnel: Total (number in full-time equivalent),456.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
558,Nicaragua,2002,R & D personnel: Researchers - women (number in full-time equivalent),96.0000,Head count instead of Full-time equivalent.;Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
558,Nicaragua,2004,R & D personnel: Total (number in full-time equivalent),371.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
558,Nicaragua,2004,R & D personnel: Technicians - total (number in full-time equivalent),45.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
558,Nicaragua,2004,R & D personnel: Technicians - women (number in full-time equivalent),15.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
558,Nicaragua,2012,R & D personnel: Total (number in full-time equivalent),1225.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
558,Nicaragua,2012,R & D personnel: Technicians - total (number in full-time equivalent),231.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
562,Niger,2005,R & D personnel: Total (number in full-time equivalent),595.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
562,Niger,2005,R & D personnel: Researchers - total (number in full-time equivalent),101.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
562,Niger,2005,R & D personnel: Technicians - total (number in full-time equivalent),137.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
562,Niger,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),357.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2005,R & D personnel: Total (number in full-time equivalent),66574.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2005,R & D personnel: Researchers - total (number in full-time equivalent),28533.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2005,R & D personnel: Researchers - women (number in full-time equivalent),4839.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2005,R & D personnel: Technicians - total (number in full-time equivalent),10854.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),27187.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2007,R & D personnel: Total (number in full-time equivalent),32802.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2007,R & D personnel: Researchers - total (number in full-time equivalent),17624.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2007,R & D personnel: Researchers - women (number in full-time equivalent),4106.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2007,R & D personnel: Technicians - total (number in full-time equivalent),4647.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2007,R & D personnel: Technicians - women (number in full-time equivalent),1026.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2007,R & D personnel: Other supporting staff - total (number in full-time equivalent),10531.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
566,Nigeria,2007,R & D personnel: Other supporting staff - women (number in full-time equivalent),3759.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2005,R & D personnel: Total (number in full-time equivalent),1434.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2005,R & D personnel: Researchers - total (number in full-time equivalent),1113.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2005,R & D personnel: Researchers - women (number in full-time equivalent),576.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2005,R & D personnel: Technicians - total (number in full-time equivalent),168.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2005,R & D personnel: Technicians - women (number in full-time equivalent),94.0000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),153.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),81.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2010,R & D personnel: Total (number in full-time equivalent),1433.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2010,R & D personnel: Researchers - total (number in full-time equivalent),1101.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2010,R & D personnel: Researchers - women (number in full-time equivalent),619.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2010,R & D personnel: Technicians - total (number in full-time equivalent),169.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2010,R & D personnel: Technicians - women (number in full-time equivalent),104.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),161.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),106.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2017,R & D personnel: Total (number in full-time equivalent),1869.5600,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2017,R & D personnel: Researchers - total (number in full-time equivalent),1518.5200,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2017,R & D personnel: Researchers - women (number in full-time equivalent),856.2200,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2017,R & D personnel: Technicians - total (number in full-time equivalent),191.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2017,R & D personnel: Technicians - women (number in full-time equivalent),101.2500,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),159.7400,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
807,North Macedonia,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),69.2800,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
578,Norway,2005,R & D personnel: Total (number in full-time equivalent),29965.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
578,Norway,2005,R & D personnel: Researchers - total (number in full-time equivalent),21200.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
578,Norway,2010,R & D personnel: Total (number in full-time equivalent),36121.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
578,Norway,2010,R & D personnel: Researchers - total (number in full-time equivalent),26451.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
578,Norway,2017,R & D personnel: Total (number in full-time equivalent),46989.0000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
578,Norway,2017,R & D personnel: Researchers - total (number in full-time equivalent),34367.0000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
512,Oman,2017,R & D personnel: Total (number in full-time equivalent),1642.9100,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
512,Oman,2017,R & D personnel: Researchers - total (number in full-time equivalent),1131.0700,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
512,Oman,2017,R & D personnel: Researchers - women (number in full-time equivalent),343.1600,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
512,Oman,2017,R & D personnel: Technicians - total (number in full-time equivalent),199.8100,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
512,Oman,2017,R & D personnel: Technicians - women (number in full-time equivalent),97.6500,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
512,Oman,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),312.0300,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
512,Oman,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),334.5900,Partial data.;The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2005,R & D personnel: Total (number in full-time equivalent),53159.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2005,R & D personnel: Researchers - total (number in full-time equivalent),12689.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2005,R & D personnel: Researchers - women (number in full-time equivalent),2053.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2005,R & D personnel: Technicians - total (number in full-time equivalent),6471.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),33999.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2009,R & D personnel: Total (number in full-time equivalent),74695.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2009,R & D personnel: Researchers - total (number in full-time equivalent),27602.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2009,R & D personnel: Researchers - women (number in full-time equivalent),6534.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2009,R & D personnel: Technicians - total (number in full-time equivalent),10993.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),36100.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2017,R & D personnel: Total (number in full-time equivalent),101437.3000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2017,R & D personnel: Researchers - total (number in full-time equivalent),69769.3000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2017,R & D personnel: Researchers - women (number in full-time equivalent),26213.1000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2017,R & D personnel: Technicians - total (number in full-time equivalent),6611.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2017,R & D personnel: Technicians - women (number in full-time equivalent),273.7000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),25057.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
586,Pakistan,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),1371.2000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2002,R & D personnel: Total (number in full-time equivalent),1331.0000,Excluding technicians and equivalent staff.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2002,R & D personnel: Researchers - total (number in full-time equivalent),297.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2002,R & D personnel: Other supporting staff - total (number in full-time equivalent),1034.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2005,R & D personnel: Total (number in full-time equivalent),1302.0000,Excluding technicians and equivalent staff.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2005,R & D personnel: Researchers - total (number in full-time equivalent),344.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2008,R & D personnel: Total (number in full-time equivalent),1449.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2008,R & D personnel: Researchers - total (number in full-time equivalent),463.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2008,R & D personnel: Technicians - total (number in full-time equivalent),377.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),609.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2009,R & D personnel: Total (number in full-time equivalent),530.0000,Excluding technicians and equivalent staff.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2009,R & D personnel: Researchers - total (number in full-time equivalent),394.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),137.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2012,R & D personnel: Total (number in full-time equivalent),792.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2012,R & D personnel: Researchers - total (number in full-time equivalent),142.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2012,R & D personnel: Researchers - women (number in full-time equivalent),67.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2012,R & D personnel: Technicians - total (number in full-time equivalent),350.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2012,R & D personnel: Technicians - women (number in full-time equivalent),144.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2012,R & D personnel: Other supporting staff - total (number in full-time equivalent),300.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2012,R & D personnel: Other supporting staff - women (number in full-time equivalent),113.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2013,R & D personnel: Researchers - total (number in full-time equivalent),150.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
