T10,Expenditure on health,,,,,
440,Lithuania,2017,Current health expenditure (% of GDP),6.4576,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
440,Lithuania,2000,Domestic general government health expenditure (% of total government expenditure),10.5711,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
440,Lithuania,2005,Domestic general government health expenditure (% of total government expenditure),10.0503,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
440,Lithuania,2010,Domestic general government health expenditure (% of total government expenditure),11.4555,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
440,Lithuania,2015,Domestic general government health expenditure (% of total government expenditure),12.2610,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
440,Lithuania,2016,Domestic general government health expenditure (% of total government expenditure),12.8078,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
440,Lithuania,2017,Domestic general government health expenditure (% of total government expenditure),12.7744,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2000,Current health expenditure (% of GDP),5.9014,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2005,Current health expenditure (% of GDP),7.1826,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2010,Current health expenditure (% of GDP),7.0312,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2015,Current health expenditure (% of GDP),5.4790,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2016,Current health expenditure (% of GDP),5.4687,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2017,Current health expenditure (% of GDP),5.4811,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2000,Domestic general government health expenditure (% of total government expenditure),12.9897,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2005,Domestic general government health expenditure (% of total government expenditure),13.8664,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2010,Domestic general government health expenditure (% of total government expenditure),13.6890,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2015,Domestic general government health expenditure (% of total government expenditure),11.0705,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2016,Domestic general government health expenditure (% of total government expenditure),11.0630,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
442,Luxembourg,2017,Domestic general government health expenditure (% of total government expenditure),10.7956,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2000,Current health expenditure (% of GDP),5.2310,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2005,Current health expenditure (% of GDP),6.0052,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2010,Current health expenditure (% of GDP),5.3203,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2015,Current health expenditure (% of GDP),5.7212,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2016,Current health expenditure (% of GDP),6.1172,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2017,Current health expenditure (% of GDP),5.5020,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2000,Domestic general government health expenditure (% of total government expenditure),11.5196,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2005,Domestic general government health expenditure (% of total government expenditure),10.5658,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2010,Domestic general government health expenditure (% of total government expenditure),15.2097,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2015,Domestic general government health expenditure (% of total government expenditure),15.2743,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2016,Domestic general government health expenditure (% of total government expenditure),17.4888,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
450,Madagascar,2017,Domestic general government health expenditure (% of total government expenditure),15.0213,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2000,Current health expenditure (% of GDP),3.3525,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2005,Current health expenditure (% of GDP),6.0551,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2010,Current health expenditure (% of GDP),7.2414,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2015,Current health expenditure (% of GDP),9.3333,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2016,Current health expenditure (% of GDP),9.6936,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2017,Current health expenditure (% of GDP),9.6482,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2000,Domestic general government health expenditure (% of total government expenditure),7.0660,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2005,Domestic general government health expenditure (% of total government expenditure),6.0578,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2010,Domestic general government health expenditure (% of total government expenditure),5.7947,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2015,Domestic general government health expenditure (% of total government expenditure),9.6751,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2016,Domestic general government health expenditure (% of total government expenditure),9.7755,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
454,Malawi,2017,Domestic general government health expenditure (% of total government expenditure),9.7755,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2000,Current health expenditure (% of GDP),2.5648,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2005,Current health expenditure (% of GDP),2.8446,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2010,Current health expenditure (% of GDP),3.2287,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2015,Current health expenditure (% of GDP),3.8949,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2016,Current health expenditure (% of GDP),3.7994,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2017,Current health expenditure (% of GDP),3.8594,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2000,Domestic general government health expenditure (% of total government expenditure),4.6045,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2005,Domestic general government health expenditure (% of total government expenditure),5.6117,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2010,Domestic general government health expenditure (% of total government expenditure),6.3204,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2015,Domestic general government health expenditure (% of total government expenditure),8.2382,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2016,Domestic general government health expenditure (% of total government expenditure),8.3223,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
458,Malaysia,2017,Domestic general government health expenditure (% of total government expenditure),8.9278,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2000,Current health expenditure (% of GDP),7.7366,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2005,Current health expenditure (% of GDP),8.8275,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2010,Current health expenditure (% of GDP),8.4876,Break in the time series.;Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2015,Current health expenditure (% of GDP),8.6903,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2016,Current health expenditure (% of GDP),10.1997,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2017,Current health expenditure (% of GDP),9.0300,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2000,Domestic general government health expenditure (% of total government expenditure),8.8414,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2005,Domestic general government health expenditure (% of total government expenditure),7.6986,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2010,Domestic general government health expenditure (% of total government expenditure),13.6037,Break in the time series.;Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2015,Domestic general government health expenditure (% of total government expenditure),18.4983,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2016,Domestic general government health expenditure (% of total government expenditure),20.4428,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
462,Maldives,2017,Domestic general government health expenditure (% of total government expenditure),21.7775,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2000,Current health expenditure (% of GDP),5.5621,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2005,Current health expenditure (% of GDP),5.0549,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2010,Current health expenditure (% of GDP),4.6090,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2015,Current health expenditure (% of GDP),4.1114,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2016,Current health expenditure (% of GDP),3.7754,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2017,Current health expenditure (% of GDP),3.7940,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2000,Domestic general government health expenditure (% of total government expenditure),6.8213,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2005,Domestic general government health expenditure (% of total government expenditure),6.3615,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2010,Domestic general government health expenditure (% of total government expenditure),3.2564,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2015,Domestic general government health expenditure (% of total government expenditure),4.3903,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2016,Domestic general government health expenditure (% of total government expenditure),5.4306,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
466,Mali,2017,Domestic general government health expenditure (% of total government expenditure),5.7852,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2000,Current health expenditure (% of GDP),6.5991,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2005,Current health expenditure (% of GDP),8.6808,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2010,Current health expenditure (% of GDP),8.2127,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2015,Current health expenditure (% of GDP),9.2372,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2016,Current health expenditure (% of GDP),9.1664,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2017,Current health expenditure (% of GDP),9.3410,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2000,Domestic general government health expenditure (% of total government expenditure),11.7831,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2005,Domestic general government health expenditure (% of total government expenditure),14.2069,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2010,Domestic general government health expenditure (% of total government expenditure),12.9151,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2015,Domestic general government health expenditure (% of total government expenditure),14.1694,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2016,Domestic general government health expenditure (% of total government expenditure),15.7751,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
470,Malta,2017,Domestic general government health expenditure (% of total government expenditure),16.4762,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2000,Current health expenditure (% of GDP),19.7192,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2005,Current health expenditure (% of GDP),21.6140,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2010,Current health expenditure (% of GDP),15.2457,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2015,Current health expenditure (% of GDP),17.5907,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2016,Current health expenditure (% of GDP),17.8622,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2017,Current health expenditure (% of GDP),16.4029,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2000,Domestic general government health expenditure (% of total government expenditure),17.0890,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2005,Domestic general government health expenditure (% of total government expenditure),6.5508,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2010,Domestic general government health expenditure (% of total government expenditure),7.6736,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2015,Domestic general government health expenditure (% of total government expenditure),11.5724,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2016,Domestic general government health expenditure (% of total government expenditure),12.1496,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
584,Marshall Islands,2017,Domestic general government health expenditure (% of total government expenditure),9.4874,Data refer to fiscal years ending 30 September.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2000,Current health expenditure (% of GDP),4.6504,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2005,Current health expenditure (% of GDP),4.5762,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2010,Current health expenditure (% of GDP),3.4216,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2015,Current health expenditure (% of GDP),4.7432,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2016,Current health expenditure (% of GDP),4.1308,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2017,Current health expenditure (% of GDP),4.4032,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2000,Domestic general government health expenditure (% of total government expenditure),2.5171,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2005,Domestic general government health expenditure (% of total government expenditure),3.8442,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2010,Domestic general government health expenditure (% of total government expenditure),4.2230,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2015,Domestic general government health expenditure (% of total government expenditure),5.5302,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2016,Domestic general government health expenditure (% of total government expenditure),5.7563,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
478,Mauritania,2017,Domestic general government health expenditure (% of total government expenditure),6.0656,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2000,Current health expenditure (% of GDP),2.8958,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2005,Current health expenditure (% of GDP),3.5653,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2010,Current health expenditure (% of GDP),4.5798,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2015,Current health expenditure (% of GDP),5.7000,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2016,Current health expenditure (% of GDP),5.7068,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2017,Current health expenditure (% of GDP),5.7187,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2000,Domestic general government health expenditure (% of total government expenditure),6.8793,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2005,Domestic general government health expenditure (% of total government expenditure),7.3627,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2010,Domestic general government health expenditure (% of total government expenditure),8.2959,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2015,Domestic general government health expenditure (% of total government expenditure),9.4584,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2016,Domestic general government health expenditure (% of total government expenditure),9.9902,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
480,Mauritius,2017,Domestic general government health expenditure (% of total government expenditure),9.9685,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2000,Current health expenditure (% of GDP),4.4491,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2005,Current health expenditure (% of GDP),5.8361,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2010,Current health expenditure (% of GDP),5.9751,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2015,Current health expenditure (% of GDP),5.7971,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2016,Current health expenditure (% of GDP),5.6161,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2017,Current health expenditure (% of GDP),5.5165,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2000,Domestic general government health expenditure (% of total government expenditure),9.8996,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2005,Domestic general government health expenditure (% of total government expenditure),11.1423,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2010,Domestic general government health expenditure (% of total government expenditure),10.5033,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2015,Domestic general government health expenditure (% of total government expenditure),11.1794,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2016,Domestic general government health expenditure (% of total government expenditure),10.7508,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
484,Mexico,2017,Domestic general government health expenditure (% of total government expenditure),11.0486,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2000,Current health expenditure (% of GDP),7.7651,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2005,Current health expenditure (% of GDP),17.7331,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2010,Current health expenditure (% of GDP),13.1062,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2015,Current health expenditure (% of GDP),12.5315,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2016,Current health expenditure (% of GDP),12.5910,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2017,Current health expenditure (% of GDP),12.3515,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2000,Domestic general government health expenditure (% of total government expenditure),2.5944,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2005,Domestic general government health expenditure (% of total government expenditure),4.4624,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2010,Domestic general government health expenditure (% of total government expenditure),3.3999,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2015,Domestic general government health expenditure (% of total government expenditure),5.7719,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2016,Domestic general government health expenditure (% of total government expenditure),5.5108,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
583,Micronesia (Fed. States of),2017,Domestic general government health expenditure (% of total government expenditure),4.9452,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2000,Current health expenditure (% of GDP),1.7343,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2005,Current health expenditure (% of GDP),2.1163,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2010,Current health expenditure (% of GDP),2.3306,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2015,Current health expenditure (% of GDP),2.0283,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2016,Current health expenditure (% of GDP),1.7491,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2017,Current health expenditure (% of GDP),1.7727,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2000,Domestic general government health expenditure (% of total government expenditure),6.8963,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2005,Domestic general government health expenditure (% of total government expenditure),7.9048,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2010,Domestic general government health expenditure (% of total government expenditure),9.1693,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2015,Domestic general government health expenditure (% of total government expenditure),8.0937,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2016,Domestic general government health expenditure (% of total government expenditure),6.6980,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
492,Monaco,2017,Domestic general government health expenditure (% of total government expenditure),6.7499,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
496,Mongolia,2000,Current health expenditure (% of GDP),4.8726,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
496,Mongolia,2005,Current health expenditure (% of GDP),3.7553,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
496,Mongolia,2010,Current health expenditure (% of GDP),3.7395,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
496,Mongolia,2015,Current health expenditure (% of GDP),4.2383,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
